prompt,classname,classidx
a photo of a American robin.,American robin,15
a photo of a Gila monster.,Gila monster,45
a photo of a eastern hog-nosed snake.,eastern hog-nosed snake,54
a photo of a garter snake.,garter snake,57
a photo of a green mamba.,green mamba,64
a photo of a European garden spider.,European garden spider,74
a photo of a lorikeet.,lorikeet,90
a photo of a goose.,goose,99
a photo of a rock crab.,rock crab,119
a photo of a fiddler crab.,fiddler crab,120
a photo of a American lobster.,American lobster,122
a photo of a little blue heron.,little blue heron,131
a photo of a American coot.,American coot,137
a photo of a Chihuahua.,Chihuahua,151
a photo of a Shih Tzu.,Shih Tzu,155
a photo of a Papillon.,Papillon,157
a photo of a toy terrier.,toy terrier,158
a photo of a Treeing Walker Coonhound.,Treeing Walker Coonhound,166
a photo of a English foxhound.,English foxhound,167
a photo of a borzoi.,borzoi,169
a photo of a Saluki.,Saluki,176
a photo of a American Staffordshire Terrier.,American Staffordshire Terrier,180
a photo of a Chesapeake Bay Retriever.,Chesapeake Bay Retriever,209
a photo of a Vizsla.,Vizsla,211
a photo of a Kuvasz.,Kuvasz,222
a photo of a Komondor.,Komondor,228
a photo of a Rottweiler.,Rottweiler,234
a photo of a Dobermann.,Dobermann,236
a photo of a Boxer.,Boxer,242
a photo of a Great Dane.,Great Dane,246
a photo of a Standard Poodle.,Standard Poodle,267
a photo of a Mexican hairless dog (xoloitzcuintli).,Mexican hairless dog (xoloitzcuintli),268
a photo of a coyote.,coyote,272
a photo of a African wild dog.,African wild dog,275
a photo of a red fox.,red fox,277
a photo of a tabby cat.,tabby cat,281
a photo of a meerkat.,meerkat,299
a photo of a dung beetle.,dung beetle,305
a photo of a stick insect.,stick insect,313
a photo of a leafhopper.,leafhopper,317
a photo of a hare.,hare,331
a photo of a wild boar.,wild boar,342
a photo of a gibbon.,gibbon,368
a photo of a langur.,langur,374
a photo of a ambulance.,ambulance,407
a photo of a baluster / handrail.,baluster / handrail,421
a photo of a bassinet.,bassinet,431
a photo of a boathouse.,boathouse,449
a photo of a poke bonnet.,poke bonnet,452
a photo of a bottle cap.,bottle cap,455
a photo of a car wheel.,car wheel,479
a photo of a bell or wind chime.,bell or wind chime,494
a photo of a movie theater.,movie theater,498
a photo of a cocktail shaker.,cocktail shaker,503
a photo of a computer keyboard.,computer keyboard,508
a photo of a Dutch oven.,Dutch oven,544
a photo of a football helmet.,football helmet,560
a photo of a gas mask or respirator.,gas mask or respirator,570
a photo of a hard disk drive.,hard disk drive,592
a photo of a harmonica.,harmonica,593
a photo of a honeycomb.,honeycomb,599
a photo of a clothes iron.,clothes iron,606
a photo of a jeans.,jeans,608
a photo of a lampshade.,lampshade,619
a photo of a laptop computer.,laptop computer,620
a photo of a milk can.,milk can,653
a photo of a mixing bowl.,mixing bowl,659
a photo of a modem.,modem,662
a photo of a moped.,moped,665
a photo of a graduation cap.,graduation cap,667
a photo of a mousetrap.,mousetrap,674
a photo of a obelisk.,obelisk,682
a photo of a park bench.,park bench,703
a photo of a pedestal.,pedestal,708
a photo of a pickup truck.,pickup truck,717
a photo of a pirate ship.,pirate ship,724
a photo of a purse.,purse,748
a photo of a fishing casting reel.,fishing casting reel,758
a photo of a rocking chair.,rocking chair,765
a photo of a rotisserie.,rotisserie,766
a photo of a safety pin.,safety pin,772
a photo of a sarong.,sarong,775
a photo of a balaclava ski mask.,balaclava ski mask,796
a photo of a slide rule.,slide rule,798
a photo of a stretcher.,stretcher,830
a photo of a front curtain.,front curtain,854
a photo of a throne.,throne,857
a photo of a tile roof.,tile roof,858
a photo of a tripod.,tripod,872
a photo of a hot tub.,hot tub,876
a photo of a vacuum cleaner.,vacuum cleaner,882
a photo of a window screen.,window screen,904
a photo of a airplane wing.,airplane wing,908
a photo of a cabbage.,cabbage,936
a photo of a cauliflower.,cauliflower,938
a photo of a pineapple.,pineapple,953
a photo of a carbonara.,carbonara,959
a photo of a chocolate syrup.,chocolate syrup,960
a photo of a gyromitra.,gyromitra,993
a photo of a stinkhorn mushroom.,stinkhorn mushroom,994
